56 21
45	22.50500	24.24000	25.08100	27.31900	28.44700	29.70800	30.52500	31.14600	31.65600	32.09300	32.47800	32.82400	33.14000	33.43200	35.60700	37.15500	39.55000	44.16500	52.32200	72.66900
46	23.21100	24.97700	25.83300	28.10900	29.25500	30.53800	31.36700	31.99900	32.51700	32.96200	33.35300	33.70500	34.02600	34.32200	36.53400	38.10800	40.54500	45.24300	53.55900	74.33300
47	23.92100	25.71700	26.58700	28.90100	30.06600	31.36900	32.21200	32.85400	33.38100	33.83200	34.23000	34.58700	34.91300	35.21500	37.46200	39.06200	41.54000	46.32200	54.79600	75.99700
48	24.63300	26.46000	27.34400	29.69600	30.87900	32.20300	33.05900	33.71100	34.24600	34.70400	35.10800	35.47100	35.80300	36.10900	38.39200	40.01800	42.53700	47.40100	56.03300	77.66000
49	25.34900	27.20600	28.10400	30.49300	31.69400	33.03900	33.90800	34.57000	35.11300	35.57800	35.98800	36.35700	36.69400	37.00400	39.32300	40.97500	43.53400	48.48100	57.27000	79.32400
50	26.06700	27.95400	28.86700	31.29200	32.51200	33.87600	34.75900	35.43100	35.98200	36.45400	36.87000	37.24500	37.58600	37.90100	40.25500	41.93300	44.53300	49.56200	58.50800	80.98800
51	26.787	28.706	29.631	32.094	33.332	34.716	35.611	36.293	36.852	37.331	37.754	38.134	38.480	38.800	41.189	42.892	45.533	50.644	59.746	82.652
52	27.511	29.459	30.399	32.898	34.153	35.558	36.466	37.157	37.724	38.211	38.639	39.024	39.376	39.700	42.124	43.852	46.533	51.726	60.985	84.317
53	28.239	30.216	31.169	33.704	34.977	36.401	37.322	38.023	38.598	39.091	39.526	39.916	40.273	40.602	43.06	44.813	47.534	52.808	62.224	85.981
54	28.969	30.975	31.942	34.512	35.803	37.247	38.18	38.891	39.474	39.973	40.414	40.810	41.171	41.505	43.997	45.776	48.536	53.891	63.463	87.645
55	29.702	31.736	32.717	35.322	36.630	38.094	39.040	39.760	40.351	40.857	41.303	41.705	42.071	42.409	44.936	46.739	49.539	54.975	64.702	89.310
